id_simulacion,longitud_pasos,probabilidad_trayectoria,secuencia_nodos,secuencia_aristas
5533,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5534,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5535,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5536,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5537,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5538,2,0.010526315789473606,HDB_20 -> HDB_15 -> HDB_4,HDB_20->HDB_15 | HDB_15->HDB_4
5539,1,0.5,HDB_18 -> HDB_2,HDB_18->HDB_2
5540,6,0.04210526315789474,HDB_14 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_14->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5541,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5542,4,0.23157894736842113,HDB_13 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_13->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5543,1,0.75,HDB_17 -> HDB_9,HDB_17->HDB_9
5544,1,0.5,HDB_18 -> HDB_2,HDB_18->HDB_2
5545,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5546,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5547,4,0.23157894736842113,HDB_13 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_13->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5548,4,0.002659279778393348,HDB_13 -> HDB_20 -> HDB_11 -> HDB_20 -> HDB_10,HDB_13->HDB_20 | HDB_20->HDB_11 | HDB_11->HDB_20 | HDB_20->HDB_10
5549,3,0.08421052631578949,HDB_20 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5550,1,0.5,HDB_18 -> HDB_2,HDB_18->HDB_2
5551,8,0.00157523653133417,HDB_20 -> HDB_14 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_16 -> HDB_15,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15
5552,3,0.08421052631578949,HDB_20 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5553,6,0.0005038635369587399,HDB_13 -> HDB_20 -> HDB_11 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_10,HDB_13->HDB_20 | HDB_20->HDB_11 | HDB_11->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_10
5554,1,0.052631578947368425,HDB_20 -> HDB_9,HDB_20->HDB_9
5555,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5556,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5557,7,0.005080623997667305,HDB_20 -> HDB_13 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_13 | HDB_13->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5558,5,0.04387811634349034,HDB_20 -> HDB_14 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5559,8,0.0030231812217524456,HDB_20 -> HDB_14 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18
5560,8,0.02105263157894737,HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18
5561,2,0.08421052631578944,HDB_13 -> HDB_20 -> HDB_10,HDB_13->HDB_20 | HDB_20->HDB_10
5562,4,0.23157894736842113,HDB_11 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_11->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5563,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5564,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5565,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5566,2,0.0473684210526316,HDB_20 -> HDB_17 -> HDB_9,HDB_20->HDB_17 | HDB_17->HDB_9
5567,8,0.0625,HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18,HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18
5568,7,0.00797783933518006,HDB_20 -> HDB_14 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5569,6,0.01595567867036012,HDB_11 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_2,HDB_11->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5570,3,0.0473684210526316,HDB_11 -> HDB_20 -> HDB_17 -> HDB_9,HDB_11->HDB_20 | HDB_20->HDB_17 | HDB_17->HDB_9
5571,8,0.00026253942188902795,HDB_20 -> HDB_14 -> HDB_20 -> HDB_14 -> HDB_20 -> HDB_11 -> HDB_20 -> HDB_16 -> HDB_15,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_11 | HDB_11->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15
5572,6,0.00023093745443942114,HDB_20 -> HDB_14 -> HDB_20 -> HDB_13 -> HDB_20 -> HDB_15 -> HDB_4,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_13 | HDB_13->HDB_20 | HDB_20->HDB_15 | HDB_15->HDB_4
5573,2,0.0473684210526316,HDB_20 -> HDB_17 -> HDB_9,HDB_20->HDB_17 | HDB_17->HDB_9
5574,2,0.08421052631578944,HDB_12 -> HDB_20 -> HDB_10,HDB_12->HDB_20 | HDB_20->HDB_10
5575,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5576,3,0.08421052631578949,HDB_20 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5577,1,0.4444444444444444,HDB_7 -> HDB_4,HDB_7->HDB_4
5578,3,0.08421052631578949,HDB_20 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5579,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5580,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5581,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5582,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5583,5,0.04210526315789474,HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5584,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5585,2,0.5,HDB_19 -> HDB_18 -> HDB_2,HDB_19->HDB_18 | HDB_18->HDB_2
5586,4,0.08421052631578949,HDB_11 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_2,HDB_11->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5587,1,0.052631578947368425,HDB_20 -> HDB_9,HDB_20->HDB_9
5588,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5589,1,0.5,HDB_18 -> HDB_2,HDB_18->HDB_2
5590,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5591,1,0.052631578947368425,HDB_20 -> HDB_9,HDB_20->HDB_9
